    N    R        ALFA(gaia)        DELTA(gaia)      PARALAJE     ERROR     MOV.PR.ALF    ERROR     MOV.PR.DEL    ERROR        BP         ERROR        RP         ERROR         J         ERROR         H         ERROR         K         ERROR       3.6         ERROR        4.5        ERROR        5.8        ERROR       8          ERROR         W1         ERROR        W2         ERROR         W3        ERROR         W4        ERROR         V         ERROR        B-V        ERROR        U-B        ERROR        V-I        ERROR   
    1   1.91   254.95255787900   -40.19862621540      1.7132      0.0967     -1.0570      0.1320     -7.2530      0.0940     10.0231      0.0118      6.5962      0.0029      4.4300      0.2620      3.3490      0.2040      3.0110      0.2500      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      9.7480      0.0010      1.8190      0.0010      1.8530      0.0020      3.4110      0.0010
    2   3.20   254.95352502800   -40.23326325220      0.9578      0.0612      7.3560      0.0960     -2.3330      0.0690     12.2655      0.0015     10.3747      0.0007      8.8970      0.0260      8.1250      0.0330      7.9440      0.0270      7.7940      0.0380      7.9160      0.0370      7.7590      0.0460      7.6360      0.1250      7.6500      0.0260      7.6790      0.0220      4.6280      0.0270      2.3180      0.0410     11.9750      0.0010      1.6250      0.0010      1.8480      0.0040      1.7670      0.0010
    3   1.40   254.88383343100   -40.19786953000      1.0619      0.0626      1.4730      0.0950     -4.5260      0.0700     12.5799      0.0017     11.9914      0.0012     11.5190      0.0240     11.3360      0.0240     11.3190      0.0250     11.2250      0.0510     11.1730      0.0710     11.4240      0.3100      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     12.4780      0.0010      0.4040      0.0010      0.1970      0.0020      0.5000      0.0010
    4   1.89   254.94429318500   -40.21009122170      1.2153      0.0516      0.3350      0.0870     -3.6160      0.0610     12.7624      0.0020     12.1524      0.0014     11.6540      0.0210     11.5670      0.0220     11.5260      0.0200     11.4600      0.0540     11.4570      0.1010      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     12.6140      0.0010      0.4420      0.0010      0.2560      0.0020      0.5480      0.0010
    5   0.08   254.91065747600   -40.19002077640     -6.6877      0.8168     -3.8590      1.2310    -15.7940      0.9490     13.4794      0.0046     10.9485      0.0012      8.8970      0.0290      8.2100      0.0330      7.8860      0.0200      7.6900      0.0260      7.5980      0.0380      7.5150      0.0280      7.5780      0.0640      ------      ------      ------      ------      ------      ------      ------      ------     13.2840      0.0010      1.5990      0.0010      0.2600      0.0040      2.4600      0.0010
    6   2.69   254.85844182400   -40.20745728270      0.8954      0.0373      0.6580      0.0600     -2.5180      0.0480     14.2350      0.0015     13.0979      0.0010     12.2540      0.0240     11.8700      0.0320     11.8070      0.0510     11.7590      0.0380     11.8500      0.0760      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.0580      0.0010      0.8100      0.0020      0.2370      0.0040      1.0050      0.0020
    7   2.40   254.86048570100   -40.18608046530      0.7257      0.0338     -4.8250      0.0570     -3.2560      0.0400     14.5389      0.0024     12.6916      0.0010     11.2710      0.0220     10.5630      0.0240     10.3710      0.0260     10.2190      0.1110     10.2360      0.1060      ------      ------      ------      ------     10.1670      0.1170     10.0010      0.1410      5.5630      ------      2.5650      0.1050     14.2920      0.0010      1.5900      0.0020      1.8050      0.0200      1.6810      0.0020
    8   3.00   254.96016492400   -40.22420471720     -0.3317      0.3550     -5.6580      0.5160      2.2800      0.3680     14.7755      0.0092     13.5973      0.0075     12.6550      0.0240     12.2690      0.0250     12.1590      0.0260     12.0420      0.0820     12.0010      0.1070      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.6060      0.0020      0.8980      0.0020      0.3290      0.0060      1.1620      0.0020
    9   3.56   254.88025852500   -40.24408004260      1.1073      0.0448     -3.8280      0.0670     -4.9300      0.0540     14.8245      0.0018     13.6372      0.0011     12.7910      0.0260     12.4390      0.0300     12.3230      0.0390     12.2890      0.0680     12.2450      0.0590      ------      ------      ------      ------     11.2790      0.0280     15.5630      ------      9.2300      ------      7.4720      ------     14.6380      0.0010      0.8810      0.0020      0.3500      0.0060      1.0660      0.0020
   10   2.60   254.94329643700   -40.22639391710      1.4360      0.0365     -0.6390      0.0580    -22.3710      0.0420     14.8954      0.0020     13.6589      0.0009     12.7330      0.0210     12.3020      0.0250     12.2630      0.0290     12.2840      0.0520     12.2950      0.0590      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.6490      0.0010      0.9470      0.0020      0.4060      0.0060      1.1250      0.0020
   11   2.37   254.86839794700   -40.21071177690      0.6649      0.0437     -2.1150      0.0830     -5.2770      0.0630     14.8611      0.0022     13.7393      0.0013     12.9070      0.0240     12.5400      0.0270     12.4810      0.0290     12.4300      0.0440     12.5230      0.0880      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.6900      0.0010      0.7840      0.0020      0.2730      0.0060      0.9920      0.0020
   12   2.28   254.95735251000   -40.17366634010      0.5882      0.0382      0.8000      0.0610     -0.8350      0.0440     14.9241      0.0020     13.7933      0.0019     12.9040      0.0440     12.5820      0.0300     12.4910      0.0710     12.3140      0.0680     12.3090      0.1010      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.6940      0.0010      0.7840      0.0020      0.3240      0.0060      1.0480      0.0020
