#id,ALFA(gaia),DELTA(gaia),V,ERROR,B-V,ERROR,U-B,ERROR,V-I,ERROR
1,166.444900853,-62.5231085721,10.524,0.001,1.908,0.001,2.353,0.003,2.177,0.002
2,166.337716741,-62.4635704637,12.168,0.001,2.149,0.001,2.67,0.006,2.565,0.001
3,166.448152037,-62.4779046278,12.769,0.001,0.721,0.001,0.429,0.002,0.988,0.001
4,166.365194412,-62.5096332103,12.77,0.001,0.673,0.001,-0.169,0.002,0.952,0.001
5,166.358972229,-62.4891545329,12.947,0.001,1.529,0.001,1.535,0.004,1.656,0.001
6,166.344192929,-62.4488157346,13.522,0.001,0.617,0.001,0.258,0.002,0.79,0.001
7,166.313754648,-62.4848613482,13.533,0.001,0.554,0.001,0.289,0.002,0.739,0.001
8,166.456644053,-62.517286896,13.771,0.001,0.765,0.001,0.219,0.002,1.005,0.001
9,166.402408447,-62.5194437694,14.161,0.001,1.4,0.001,1.06,0.006,1.628,0.001
10,166.415990547,-62.5148549807,14.293,0.001,0.469,0.001,0.123,0.002,0.663,0.001
11,166.472201312,-62.4851685304,14.433,0.001,0.929,0.001,0.277,0.003,1.237,0.002
12,166.464089489,-62.494321863,14.56,0.001,0.969,0.001,0.367,0.004,1.269,0.002
13,166.405384995,-62.485316833,14.661,0.001,1.309,0.002,0.133,0.004,1.876,0.002
14,166.47443825,-62.4989622451,14.662,0.001,0.627,0.001,0.367,0.003,0.846,0.002
15,166.411367851,-62.4775817322,14.912,0.001,1.311,0.002,0.195,0.005,1.862,0.002
16,166.336001935,-62.5195288317,14.986,0.001,0.766,0.001,0.403,0.004,1.018,0.002
17,166.309544711,-62.4858742932,15.261,0.001,1.109,0.002,0.737,0.008,1.532,0.002
18,166.43788118,-62.4562195827,15.324,0.001,0.863,0.002,0.342,0.005,1.164,0.002
19,166.384915646,-62.4873505243,15.348,0.001,0.901,0.002,0.067,0.005,1.254,0.002
20,166.433720531,-62.5143705139,15.367,0.001,1.069,0.002,0.506,0.007,1.305,0.002
21,166.434795413,-62.4759201051,15.491,0.002,0.779,0.002,0.461,0.006,1.025,0.002
22,166.321449328,-62.5148844312,15.517,0.002,0.696,0.006,INDEF,INDEF,1.234,0.002
23,166.330466792,-62.4520540253,15.616,0.002,1.974,0.003,1.584,0.032,2.403,0.002
24,166.43599829,-62.5147128443,15.654,0.002,1.421,0.003,1.142,0.018,1.702,0.002
25,166.411991664,-62.5046520256,15.662,0.002,1.484,0.003,1.01,0.025,1.927,0.002
26,166.350987358,-62.496697556,15.751,0.002,0.95,0.002,0.315,0.008,1.199,0.002
27,166.469169128,-62.4958359587,15.764,0.002,0.883,0.002,0.346,0.008,1.163,0.002
28,166.458642842,-62.4679507035,15.806,0.002,1.008,0.002,0.339,0.008,1.343,0.002
29,166.383631494,-62.4791843368,15.828,0.002,1.276,0.003,0.126,0.009,1.846,0.002
30,166.415277672,-62.4824461059,15.912,0.002,1.345,0.003,0.26,0.011,1.934,0.002
31,166.397904989,-62.4746710092,15.935,0.003,1.036,0.004,0.405,0.01,1.365,0.007
32,166.463286568,-62.501764298,15.983,0.002,1.022,0.003,0.282,0.009,1.351,0.002
33,166.354535493,-62.4962589461,16.026,0.002,0.931,0.003,0.268,0.009,1.214,0.002
34,166.46861145,-62.4937046538,16.15,0.002,1.258,0.003,0.746,0.026,1.545,0.002
35,166.345692815,-62.5003125733,16.276,0.002,0.818,0.003,0.33,0.01,1.083,0.003
36,166.390520796,-62.4743196497,16.292,0.002,0.837,0.003,0.405,0.011,1.19,0.003
37,166.367051985,-62.4531238865,16.359,0.002,1.003,0.003,0.365,0.013,1.331,0.003
38,166.376564605,-62.5251914776,16.438,0.002,0.83,0.003,0.567,0.014,1.151,0.003
39,166.3185316,-62.4461554928,16.465,0.006,0.953,0.006,INDEF,INDEF,INDEF,0
40,166.370729812,-62.4739421638,16.47,0.002,1.027,0.003,0.403,0.021,1.317,0.003
41,166.322266454,-62.5093600624,16.483,0.003,2.472,0.008,INDEF,INDEF,3.006,0.003
42,166.34625076,-62.4825878549,16.485,0.002,1.882,0.005,INDEF,INDEF,2.373,0.002
43,166.343968522,-62.5134018964,16.529,0.002,0.923,0.003,0.272,0.012,1.189,0.003
44,166.391247659,-62.5137453035,16.594,0.003,1.13,0.004,0.55,0.019,1.39,0.003
45,166.464322992,-62.4783253001,16.609,0.003,1.051,0.004,0.312,0.024,1.378,0.003
46,166.370383184,-62.4609436603,16.631,0.003,0.961,0.004,0.489,0.025,1.386,0.003
47,166.478178249,-62.5183373646,16.698,0.003,0.874,0.004,0.251,0.014,1.161,0.004
48,166.384858465,-62.4763151585,16.75,0.003,1.258,0.004,0.174,0.018,1.919,0.003
49,166.451948929,-62.5111146707,16.764,0.003,1.158,0.004,0.766,0.039,1.398,0.003
50,166.398494265,-62.4795087249,16.773,0.003,1.274,0.004,0.385,0.035,1.821,0.003
51,166.380965077,-62.5212447405,16.796,0.003,1.077,0.005,0.522,0.034,1.365,0.006
52,166.34526619,-62.4879132439,16.816,0.003,1.197,0.004,0.735,0.041,1.429,0.003
53,166.351372621,-62.5240649641,16.833,0.003,1.814,0.006,INDEF,INDEF,2.176,0.003
54,166.349728018,-62.5211508615,16.833,0.003,0.918,0.004,0.602,0.031,1.241,0.003
55,166.390542956,-62.5196990181,16.848,0.003,1.99,0.007,INDEF,INDEF,2.377,0.003
56,166.311490172,-62.4608190285,16.887,0.003,1.078,0.004,INDEF,INDEF,1.438,0.003
57,166.381056529,-62.4796655941,16.893,0.003,1.123,0.004,0.441,0.037,1.443,0.003
58,166.343509303,-62.5012655563,16.936,0.003,1.254,0.005,0.869,0.044,1.451,0.003
