#ID               x         y         V        ev        BV       ebv        UB       eub        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP
1         254.952557879 -40.1986262154     9.748     0.001     1.819     0.001     1.853     0.002        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
2         254.953525028 -40.2332632522    11.975     0.001     1.625     0.001     1.848     0.004        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
3         254.883833431 -40.19786953    12.478     0.001     0.404     0.001     0.197     0.002     2.524     0.241     0.075      0.16     0.779        A8     0.993    -0.061    -0.143      0.46     1.028      B9.2        --        --        --        --        --        --        --        --        --        --        --        --
4         254.944293185 -40.2100912217    12.614     0.001     0.442     0.001     0.256     0.002     2.458     0.219     0.088      0.22     0.785      A7.5      1.08    -0.052    -0.108      0.49     1.007      B9.4        --        --        --        --        --        --        --        --        --        --        --        --
5         254.910657476 -40.1900207764    13.284     0.001     1.599     0.001      0.26     0.004        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
6         254.858441824 -40.2074572827    14.058     0.001      0.81     0.002     0.237     0.004     4.772     0.615     0.102      0.19     0.549        G1     4.348     0.541     0.033      0.27     0.595        F9    -0.151    -0.147    -0.488      0.95      1.79        B5        --        --        --        --        --        --
7         254.860485701 -40.1860804653    14.292     0.001      1.59     0.002     1.805      0.02        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
8         254.960164924 -40.2242047172    14.606     0.002     0.898     0.002     0.329     0.006      4.96     0.652     0.158      0.24     0.603        G3     3.831     0.462    -0.004      0.44     0.763        F6    -0.055    -0.141    -0.464      1.03     1.966      B5.5        --        --        --        --        --        --
9         254.880258525 -40.2440800426    14.638     0.001     0.881     0.002      0.35     0.006     5.178     0.696     0.223      0.18     0.603      G5.5     3.475     0.411    -0.009      0.47     0.873        F4     0.081    -0.132    -0.429      1.01     1.928        B6        --        --        --        --        --        --
10        254.943296437 -40.2263939171    14.649     0.001     0.947     0.002     0.406     0.006     5.214     0.702     0.234      0.24     0.547        G6     3.367     0.394    -0.009      0.55     0.823        F4      0.12     -0.13     -0.42      1.07     1.748        B6        --        --        --        --        --        --
