_r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 e_BP-RP e_BP-G
0.153943 0.093618 -0.122205 142.5 "Gaia DR2 3026527629447090048" 112.61082061309 0.1114 -18.66418582644 0.1402 1635721458409799680 3026527629447090048 893762108 2015.5 0.2555 0.1990 1.2838 -1.245 0.238 0.290 0.282 -0.2945 -0.0480 -0.4311 -0.0494 0.2104 -0.0202 -0.3331 0.2343 -0.2092 -0.3263 405 0 403 2 -1.6883 351.63 0.000 0 31 0 0.5267 1.4315 0.0288 0.071 46 14 0.27588 0 46 0 400 748.8 1.209 619.269 18.50244188772083 0.0025127315993582018 40 286.9 4.469 64.203 19.2070 0.0169 40 695.5 4.911 141.626 17.6562 0.0077 1.312 0 1.550816197306844 0.7045938847496416 0.8462 "" "" 0 "" "" "" NOT_AVAILABLE 233.90848523141 -0.17830875462 118.34827306916 -39.90415496979 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.61082627200 3.6837 -18.66418707480 4.3660 0.018716962165929992 0.01715389428886692
0.152693 0.090136 -0.123250 143.8 "Gaia DR2 3026527629447088768" 112.60714637573 0.0887 -18.66523238121 0.1180 1635721458409799680 3026527629447088768 503019450 2015.5 0.1493 0.1619 0.9226 -4.331 0.186 0.762 0.235 -0.2906 0.0003 -0.4573 -0.0128 0.1188 0.0153 -0.4515 0.2856 -0.2157 -0.2889 403 0 402 1 0.1047 399.29 0.000 0 31 0 0.8365 1.4975 0.0226 0.067 46 14 0.22907 0 47 0 407 1061 1.225 865.890 18.124009238644867 0.002193717989466033 43 432.3 3.971 108.865 18.7619 0.0100 40 940.5 6.206 151.543 17.3285 0.0072 1.294 0 1.433406773757568 0.6378774246061205 0.7954 "" "" 0 "" "" "" NOT_AVAILABLE 233.90773149645 -0.18186466930 118.34409829870 -39.90587444878 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.60716605600 2.8823 -18.66523566300 3.6440 0.01250473379957098 0.010307277232615248
0.156182 0.111133 -0.109737 134.6 "Gaia DR2 3026527766886061056" 112.62929974045 0.1049 -18.65170675469 0.1309 1635721458409799680 3026527766886061056 975393548 2015.5 0.2127 0.2030 1.0480 -1.271 0.224 -0.564 0.269 -0.2794 0.0077 -0.3611 -0.0638 0.2432 -0.0001 -0.2664 0.2497 -0.1785 -0.3446 354 0 354 0 1.2374 382.01 0.202 0.32 31 0 0.6122 1.4943 0.0275 0.081 40 13 0.26274 0 42 0 368 866.9 1.078 804.029 18.343439929383784 0.0022501974479579574 35 325.6 5.256 61.954 19.0696 0.0175 33 774.9 6.714 115.417 17.5388 0.0094 1.269 0 1.530775096763012 0.7261490312814303 0.8046 "" "" 0 "" "" "" NOT_AVAILABLE 233.90594863532 -0.15695877240 118.36739152264 -39.88843518833 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.62930551600 3.4715 -18.65170432660 4.1713 0.020029276717721752 0.017723808966594465
0.158307 0.113926 -0.109918 134.0 "Gaia DR2 3026527766886060928" 112.63224754516 0.0706 -18.65188638737 0.0905 1635721458409799680 3026527766886060928 160972884 2015.5 0.3783 0.1267 2.9859 -1.732 0.148 2.845 0.184 -0.2697 0.0495 -0.4390 -0.0407 0.0603 -0.0180 -0.4082 0.2595 -0.1644 -0.2817 409 0 407 2 0.0971 404.09 0.000 0 31 0 1.2953 1.4843 0.0174 0.087 47 14 0.17864 0 49 0 422 1504 1.411 1066.062 17.74535258404255 0.0020681493701774018 46 639.5 5.116 124.999 18.3367 0.0087 44 1294 5.168 250.396 16.9820 0.0043 1.286 0 1.3547672182758994 0.5913950617013057 0.7633 "" "" 0 "" "" "" NOT_AVAILABLE 233.90744778606 -0.15459538561 118.37100509733 -39.88805406312 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.63225541400 2.2973 -18.65189863880 2.8545 0.009990818402333502 0.00903790276456821
0.151445 0.099423 -0.114239 139.0 "Gaia DR2 3026527736830893184" 112.61694291132 0.4868 -18.65621624485 0.8064 1635721458409799680 3026527736830893184 1119722562 2015.5 0.6942 1.1150 0.6226 0.009 1.055 2.449 1.519 -0.3511 -0.1574 -0.4717 0.0524 0.0622 0.0427 -0.5964 0.4605 -0.0712 -0.3006 318 0 318 0 1.7943 359.34 0.427 0.09 31 0 0.0380 1.5016 0.1274 0.076 36 10 1.4785 0 36 1 317 135.4 0.936 144.683 20.359192991027054 0.007717277931808989 35 68.37 4.179 16.361 20.7642 0.0664 35 139 4.362 31.863 19.4045 0.0341 1.531 0 1.3597326133081538 0.4050588872997345 0.9546 "" "" 0 "" "" "" NOT_AVAILABLE 233.90428062571 -0.16939353791 118.35361099801 -39.89518893098 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.61694286900 16.3568 -18.65622679060 23.5608 0.07463466477458003 0.06682187984126074
0.158650 0.118409 -0.105589 131.7 "Gaia DR2 3026527766886065536" 112.63697554933 0.4002 -18.64755424897 0.5397 1635721458409799680 3026527766886065536 964864923 2015.5 0.9505 0.7864 1.2087 -0.961 0.856 2.184 1.017 -0.3681 -0.1732 -0.4990 0.0818 0.4174 0.1669 -0.4644 0.3536 -0.3003 -0.3989 389 0 387 2 1.9826 438.73 0.000 0 31 0 0.0447 1.3287 0.0992 0.075 44 12 1.0598 0 46 0 402 151 0.7766 194.470 20.240813804453754 0.005866097090978575 39 48.81 4.189 11.653 21.1301 0.0932 41 192.6 5.613 34.317 19.0501 0.0316 1.599 0 2.080060106421616 0.8893364628560718 1.1907 "" "" 0 "" "" "" NOT_AVAILABLE 233.90580009208 -0.14858534061 118.37559948671 -39.88291528325 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.63697991700 13.2746 -18.64756365090 15.7802 0.09842931460126872 0.09337089349057992
0.163721 0.110637 -0.120681 137.5 "Gaia DR2 3026527736830891136" 112.62878357478 0.0296 -18.66265095072 0.0349 1635721458409799680 3026527736830891136 1471613790 2015.5 0.6626 0.0504 13.1576 -5.543 0.062 6.404 0.068 -0.2802 0.0587 -0.4170 -0.0264 0.0507 -0.0067 -0.3261 0.2914 -0.1963 -0.2934 377 0 376 1 -0.2572 363.38 0.000 0 31 0 8.1012 1.5661 0.0075 0.071 43 14 0.073508 0 45 1 388 7130 3.273 2178.345 16.05567617537034 0.0018677314805256506 40 3585 12.72 281.838 16.4651 0.0039 44 5169 10.17 508.169 15.4784 0.0021 1.228 0 0.986711850349625 0.40944037003920286 0.5772 "" "" 0 "" "" "" NOT_AVAILABLE 233.91531275898 -0.16264458440 118.36961244581 -39.89925697568 100001 5306.00 5088.35 5365.00 0.2287 0.0089 0.4251 0.1090 0.0109 0.2100 200111 0.97 0.95 1.05 0.671 0.559 0.783 112.62880876700 0.9539 -18.66267852550 1.0536 0.004997629083884905 0.00450438250965036
0.157394 0.110092 -0.112484 135.6 "Gaia DR2 3026527771190627712" 112.62820288611 0.3875 -18.65445441959 0.5062 1635721458409799680 3026527771190627712 809533623 2015.5 1.4184 0.7439 1.9066 -1.560 0.822 -1.068 1.038 -0.3019 0.0124 -0.3271 -0.1349 0.1768 -0.0998 -0.2181 0.2028 -0.1347 -0.3497 399 0 397 2 1.9954 449.84 1.352 1.2 31 0 0.0417 1.0915 0.1024 0.056 46 14 0.98502 0 48 0 406 153.3 0.8929 171.659 20.22475707622987 0.006576068531828692 38 41.95 4.008 10.467 21.2945 0.1037 37 208.5 5.178 40.266 18.9642 0.0270 1.634 0 2.330409348468798 1.0697871239644847 1.2606 "" "" 0 "" "" "" NOT_AVAILABLE 233.90785939851 -0.15919007083 118.36677860147 -39.89133493253 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.62820997500 12.7536 -18.65444982170 16.0985 0.10720180663671053 0.10394636254754008
0.153230 0.106451 -0.110217 136.0 "Gaia DR2 3026527771181765248" 112.62435773213 0.3799 -18.65219013010 0.5141 1635721458409799680 3026527771181765248 1089527804 2015.5 -0.0794 0.7640 -0.1040 -14.226 0.805 7.719 0.994 -0.2295 -0.0166 -0.4286 -0.0420 0.2912 0.0279 -0.4395 0.2805 -0.2378 -0.2787 397 0 396 1 0.5916 407.09 0.000 0 31 0 0.0421 1.3453 0.1022 0.081 45 12 0.96975 0 47 0 415 142.4 0.8044 176.965 20.305006274739654 0.006393938063526448 37 42.87 4.426 9.686 21.2710 0.1121 42 188.7 4.297 43.913 19.0726 0.0247 1.627 0 2.1984815709136996 0.9660606693862164 1.2323 "" "" 0 "" "" "" NOT_AVAILABLE 233.90412349782 -0.16129788201 118.36153718148 -39.88984276928 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.62442237700 12.4776 -18.65222336440 15.4219 0.11481751546335685 0.11229013049657763
0.168843 0.120391 -0.118381 134.5 "Gaia DR2 3026527702471148800" 112.63907691595 0.0226 -18.66034460068 0.0271 1635721458409799680 3026527702471148800 503863661 2015.5 0.4256 0.0387 10.9842 -1.727 0.048 4.113 0.054 -0.3056 0.0909 -0.3663 -0.1219 0.0075 -0.1291 -0.2235 0.2427 -0.1546 -0.3425 429 0 424 5 17.7739 1171.54 0.207 12 31 0 14.8679 1.4635 0.0055 0.074 49 14 0.060516 0 51 0 447 3.849e+04 22.13 1738.880 14.225058430897173 0.0019052159784361147 50 1.559e+04 30.11 517.670 14.8695 0.0021 48 3.628e+04 72.86 497.985 13.3627 0.0022 1.348 0 1.5068217089597535 0.6444352305886163 0.8623 "" "" 0 "" "" "" NOT_AVAILABLE 233.91797447634 -0.15298334932 118.38146842815 -39.89505112010 100001 4376.30 4102.42 4702.10 "" "" "" "" "" "" 200111 5.86 5.08 6.67 11.361 8.987 13.734 112.63908476400 0.7456 -18.66036231120 0.8352 0.0038369726046090314 0.0031604996660620542
