_r_1 _x_1 _y_1 _p_1 DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON_1 GLAT_1 ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000_1 e_RAJ2000 DEJ2000_1 e_DEJ2000 e_BP-RP e_BP-G d_arcsec _r_2 _x_2 _y_2 _p_2 RAJ2000_2 DEJ2000_2 errMaj errMin errPA _2MASS Jmag Jcmsig e_Jmag Jsnr Hmag Hcmsig e_Hmag Hsnr Kmag Kcmsig e_Kmag Ksnr Qflg Rflg Bflg Cflg Ndet prox pxPA pxCntr Xflg Aflg Cntr Hemis Date Scan GLON_2 GLAT_2 Xscan JD Jpsfchi Hpsfchi Kpsfchi Jstdap e_Jstdap Hstdap e_Hstdap Kstdap e_Kstdap edgeNS edgeEW edge dup use opt Dopt PAopt Bmag Rmag Nopt extKey scanKey coaddKey coadd Opt
0.116909 0.026418 -0.113885 166.9 "Gaia DR2 5967065787381754496" 254.94715062337 5.729 -40.30387498192 3.6144 1635721458409799680 5967065787381754496 307839391 2015.5 "" "" "" "" "" "" "" 0.8046 "" "" "" "" "" "" "" "" "" 87 0 87 0 1.0841 95.94 3.445 0.89 3 0 0.0117 "" "" 0.235 10 7 16.677 0 12 0 105 76.18 1.3 58.586 20.98385455400663 0.01861895661932236 5 61.13 23.73 2.576 20.8857 0.4215 10 161.7 9.706 16.656 19.2404 0.0652 2.925 0 1.6452816992046202 -0.09817931555369341 1.7434 "" "" 0 "" "" "" NOT_AVAILABLE 345.31462550536 1.30510493644 258.01474680999 -17.48883550482 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.947150623 5.729 -40.3038749819 3.6144 0.42650700020504567 0.42190314304465865 0.0720 0.116996 0.026602 -0.113932 166.9 254.947168 -40.30386 0.06 0.06 45 16594732-4018138 15.08 0.036 0.038 22.9 13.44 0.028 0.03 47.6 12.7 0.024 0.026 57.1 AAA 222 111 000 266655 10.1 308 836039549 0 0 32767 s 1999-05-11 115 345.315 1.305 43.1 2451309.8001 1.6 0.8 0.92 15.386 0.162 13.529 0.065 12.842 0.028 6121 210 sw 0 1 0 "" "" "" "" 0 "" 45387 1043895 198 Opt
0.126545 0.020136 -0.124933 170.8 "Gaia DR2 5967065787377495424" 254.93891777879 0.2964 -40.31492518402 0.2389 1635721458409799680 5967065787377495424 890150055 2015.5 0.8271 0.3070 2.6943 1.175 0.576 -2.822 0.393 0.3254 0.1929 -0.6171 -0.2748 -0.1653 -0.2707 -0.8217 -0.3565 0.3008 0.2178 195 0 192 3 1.9908 227.44 0.61 1.7 31 0 0.3978 1.3069 0.0647 0.127 22 11 0.56928 0 24 0 210 653.8 1.539 424.732 18.64977110702092 0.0031263707874704537 22 122.9 8.05 15.267 20.1275 0.0711 23 915.1 9.269 98.727 17.3582 0.0110 1.588 0 2.769315390973805 1.4777491722828628 1.2915 "" "" 0 "" "" "" NOT_AVAILABLE 345.30205361643 1.30322067607 258.00945833354 -17.50050085759 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.938911145 8.9362 -40.3149130324 6.0955 0.07200275712263454 0.07120125872517928 0.0821 0.12662 0.020287 -0.124984 170.8 254.938891 -40.314915 0.06 0.06 45 16594533-4018536 15.049 0.042 0.044 23.6 14.037 0.04 0.041 27.5 13.801 0.06 0.061 20.7 AAA 222 111 000 565625 5.7 181 836039720 0 0 32767 s 1999-05-11 115 345.302 1.303 65.8 2451309.8002 0.72 0.91 0.74 15.107 0.105 14.245 0.073 13.888 0.078 6081 187 sw 0 1 U 0.3 98 20.2 17.6 1 "" 45387 1043895 198 Opt
0.12872 0.035838 -0.123631 163.8 "Gaia DR2 5967065787377495808" 254.95950883508 0.4581 -40.31361651013 0.3207 1635721458409799680 5967065787377495808 1147831631 2015.5 0.7529 0.3071 2.4513 -1.029 0.805 -2.476 0.483 0.774 0.4734 -0.8214 -0.7107 0.3123 -0.7397 -0.9003 -0.4955 -0.1764 0.6969 194 0 194 0 0.8742 205.8 0.382 0.65 31 0 0.4409 1.2715 0.0535 0.193 22 9 0.9228 0 25 0 213 680.6 1.738 391.704 18.606106306076672 0.003304949253306564 21 192.6 9.858 19.543 19.6395 0.0556 19 750.4 11.58 64.806 17.5737 0.0168 1.385 0 2.065807995120796 1.0334275234190002 1.0323 "" "" 0 "" "" "" NOT_AVAILABLE 345.3127791785 1.29167728183 258.02567556822 -17.49749940657 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.959514646 12.4819 -40.3136058484 7.4939 0.05807755177086019 0.05567413104414974 0.1402 0.128828 0.036046 -0.123682 163.8 254.959558 -40.313606 0.15 0.13 105 16595029-4018489 16.026 0.115 0.116 9.6 14.131 "" "" "" 13.759 "" "" "" BUU 266 200 c00 260000 3.5 237 836039696 0 0 32767 s 1999-05-11 115 345.313 1.292 9.1 2451309.8002 0.87 "" "" 15.567 0.075 "" "" "" "" 6085 244 sw 0 1 U 0.4 117 20.1 17.7 1 "" 45387 1043895 198 Opt
0.128996 0.035077 -0.124135 164.2 "Gaia DR2 5967065787381761408" 254.95851119249 9.2347 -40.3141214815 6.8726 1635721458409799680 5967065787381761408 1500772737 2015.5 "" "" "" "" "" "" "" 0.6162 "" "" "" "" "" "" "" "" "" 77 0 76 1 2.9105 110.74 4.072 1.7 3 0 0.0127 "" "" 0.307 9 5 206.82 0 11 0 94 79.69 1.174 67.882 20.93482231674406 0.016095125217339492 4 31.41 9.581 3.278 21.6088 0.3312 10 148.6 6.874 21.619 19.3318 0.0502 2.259 0 2.2770539678414963 0.6740115611876014 1.6030 "" "" 0 "" "" "" NOT_AVAILABLE 345.31191209866 1.29196405149 258.02493994008 -17.49808374746 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.958511192 9.2347 -40.3141214815 6.8726 0.33501145971354285 0.33161127919573546 0.0448 0.129112 0.035243 -0.124209 164.2 254.958505 -40.314133 0.11 0.11 45 16595004-4018508 15.748 0.063 0.064 12.4 13.973 "" "" "" 13.53 "" "" "" AUU 266 200 c00 360000 3.5 57 836039688 0 0 32767 s 1999-05-11 115 345.312 1.292 12.0 2451309.8002 0.99 "" "" 15.555 0.152 "" "" "" "" 6083 241 sw 0 1 U 3.3 231 20.1 17.7 1 "" 45387 1043895 198 Opt
0.11688 -0.003909 -0.116815 181.9 "Gaia DR2 5967065924820676224" 254.90738407667 12.043 -40.30680987936 5.2956 1635721458409799680 5967065924820676224 1373701244 2015.5 "" "" "" "" "" "" "" 0.9431 "" "" "" "" "" "" "" "" "" 113 0 112 1 4.6938 190.42 3.453 3.7 3 0 0.0296 "" "" 0.211 13 6 33.927 0 15 0 129 170.0 1.262 134.777 20.1120861207464 0.008254661349906803 10 89.73 16.01 5.604 20.4691 0.1937 14 400.3 19.72 20.301 18.2559 0.0535 2.882 0 2.213252521530073 0.3569939486215752 1.8562 "" "" 0 "" "" "" NOT_AVAILABLE 345.29358294069 1.32714447788 257.98347151703 -17.49504212327 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.907384077 12.043 -40.3068098794 5.2956 0.200998092237173 0.19391882164776283 0.0880 0.116912 -0.003732 -0.116852 181.8 254.907391 -40.306786 0.06 0.06 45 16593777-4018244 14.839 0.048 0.049 28.6 13.309 0.036 0.037 53.7 12.744 0.037 0.038 54.8 AAA 222 111 000 666666 4.8 146 836039616 0 0 32767 s 1999-05-11 115 345.294 1.327 152.3 2451309.8001 0.6 1.34 1.18 14.815 0.058 13.29 0.07 12.751 0.059 6110 101 sw 0 1 0 "" "" "" "" 0 "" 45387 1043895 198 Opt
0.112485 -0.006373 -0.112305 183.2 "Gaia DR2 5967065924820672640" 254.90415307065 0.4794 -40.30229965047 0.4062 1635721458409799680 5967065924820672640 1684736531 2015.5 0.6769 0.6463 1.0472 -3.576 1.248 -4.273 0.900 0.2777 0.0166 0.0013 0.0139 -0.4172 -0.1808 -0.6885 0.0060 0.5774 0.5391 161 0 161 0 3.1233 217.1 0.854 0.92 31 0 0.1314 1.2684 0.1101 0.175 19 10 1.2209 0 21 0 179 322.9 1.337 241.427 19.41576346325562 0.004843941117866229 15 99.95 7.185 13.910 20.3520 0.0781 17 599.6 10.4 57.679 17.8172 0.0188 2.167 0 2.534755017231415 0.9362012876301193 1.5985 "" "" 0 "" "" "" NOT_AVAILABLE 345.29560796954 1.33186835596 257.98038971083 -17.49082618191 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.904173262 19.3497 -40.3022812544 13.9558 0.08032542430849439 0.07821560197430467 0.0973 0.112563 -0.006196 -0.112393 183.2 254.904161 -40.302326 0.11 0.11 45 16593699-4018083 15.23 0.068 0.069 20.0 13.52 "" "" "" 12.922 "" "" "" AUU 200 100 000 560000 2.5 189 836039559 0 0 32767 s 1999-05-11 115 345.296 1.332 161.2 2451309.8001 4.47 "" "" 14.841 0.098 "" "" "" "" 6126 92 sw 0 1 0 "" "" "" "" 0 "" 45387 1043895 198 Opt
0.115233 -0.005924 -0.115081 182.9 "Gaia DR2 5967065924820673408" 254.90474203439 10.3528 -40.30507608709 6.2734 1635721458409799680 5967065924820673408 267403912 2015.5 "" "" "" "" "" "" "" -0.3193 "" "" "" "" "" "" "" "" "" 51 0 51 0 1.952 66.52 3.085 0.88 3 0 0.015 "" "" 0.146 6 5 652.28 0 9 0 70 87.5 1.474 59.36 20.83344187720309 0.018379400766497928 5 57.17 9.076 6.299 20.9585 0.1724 6 295.5 29.32 10.080 18.5856 0.1077 4.031 0 2.3729554695325987 0.1250566581323973 2.2478 "" "" 0 "" "" "" NOT_AVAILABLE 345.29370167788 1.32979993704 257.98117404597 -17.49353740708 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.904742034 10.3528 -40.3050760871 6.2734 0.20327826996353 0.17336083490468177 0.1117 0.115256 -0.005745 -0.115113 182.9 254.904752 -40.305046 0.11 0.11 135 16593714-4018181 14.657 0.06 0.061 33.9 12.825 "" "" "" 12.093 "" "" "" AUU 266 200 c00 550000 4.0 85 836039574 0 0 32767 s 1999-05-11 115 345.294 1.33 159.6 2451309.8001 0.66 "" "" 14.557 0.049 "" "" "" "" 6117 93 sw 0 1 0 "" "" "" "" 0 "" 45387 1043895 198 Opt
0.125058 -0.006697 -0.124878 183.1 "Gaia DR2 5967065924820672128" 254.9037262016 2.7433 -40.31487308933 2.2981 1635721458409799680 5967065924820672128 1647206446 2015.5 "" "" "" "" "" "" "" -0.344 "" "" "" "" "" "" "" "" "" 89 0 89 0 8.3565 244.18 5.31 4.3 3 0 0.0103 "" "" 0.186 10 7 8.3397 0 12 0 97 100.2 1.534 65.297 20.686772599383808 0.01672522140877108 9 58.9 21.3 2.765 20.9262 0.3927 10 295.8 13.97 21.171 18.5843 0.0513 3.542 0 2.341946147362666 0.23943132688109614 2.1025 "" "" 0 "" "" "" NOT_AVAILABLE 345.28551705954 1.32435666077 257.98148242695 -17.50336058386 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.903726202 2.7433 -40.3148730893 2.2981 0.3960277153874374 0.3930449417792193 0.0850 0.125092 -0.00654 -0.124921 183.0 254.903708 -40.314854 0.06 0.06 45 16593688-4018534 14.805 0.045 0.047 29.5 13.119 0.034 0.035 64.0 12.461 0.026 0.027 71.1 AAA 222 111 000 555566 8.3 258 836039706 0 0 32767 s 1999-05-11 115 345.285 1.324 162.4 2451309.8002 1.34 1.17 0.93 14.7 0.063 13.086 0.038 12.479 0.05 6081 91 sw 0 1 0 "" "" "" "" 0 "" 45387 1043895 198 Opt
0.118983 -0.000753 -0.11898 180.4 "Gaia DR2 5967066027899895040" 254.91152212616 0.7678 -40.30897546619 0.7038 1635721458409799680 5967066027899895040 544120700 2015.5 0.3598 1.0132 0.3551 6.453 1.971 0.132 1.572 0.3049 0.3422 -0.3311 -0.0687 -0.3642 -0.5333 -0.8144 0.0857 0.6017 0.6619 157 0 156 1 3.1289 211.33 1.072 0.78 31 0 0.069 1.0770 0.1596 0.122 18 9 2.1103 0 19 0 164 207.0 1.195 173.22 19.898421715411033 0.0065214504556496185 15 60.56 8.161 7.421 20.8958 0.1463 16 365.4 10.46 34.949 18.3549 0.0311 2.058 0 2.5409265438051456 0.997424005313615 1.5435 "" "" 0 "" "" "" NOT_AVAILABLE 345.29382933143 1.32332520541 257.98700715987 -17.4968522642 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.911485693 30.5603 -40.3089760354 24.377 0.14958133474740506 0.1464525324427506 0.0163 0.119039 -0.000581 -0.119037 180.3 254.911523 -40.308971 0.06 0.06 45 16593876-4018322 15.716 0.087 0.087 12.8 14.646 0.07 0.07 15.7 14.368 0.093 0.093 12.3 AAA 222 111 000 163606 5.5 265 836039628 0 0 32767 s 1999-05-11 115 345.294 1.323 141.0 2451309.8002 1.05 1.04 0.98 16.062 0.335 14.675 0.156 14.468 0.152 6102 112 sw 0 1 0 "" "" "" "" 0 "" 45387 1043895 198 Opt
0.114924 -0.000477 -0.114923 180.2 "Gaia DR2 5967066027899895552" 254.91188412593 3.8683 -40.30491861407 4.1128 1635721458409799680 5967066027899895552 1082454849 2015.5 "" "" "" "" "" "" "" -0.3593 "" "" "" "" "" "" "" "" "" 98 0 97 1 1.8289 118.32 0.898 0.21 3 0 0.0364 "" "" 0.138 11 6 90.397 0 13 0 106 136.0 1.412 96.291 20.35471244201836 0.011417730209083779 9 48.24 9.818 4.913 21.1429 0.2210 13 281.9 10.19 27.657 18.6368 0.0393 2.428 0 2.50616497096037 0.7881918530714742 1.7179 "" "" 0 "" "" "" NOT_AVAILABLE 345.29719107638 1.3256140841 257.98683309809 -17.49278942069 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.911884126 3.8683 -40.3049186141 4.1128 0.22445927090857698 0.22128621730205753 0.1120 0.11498 -0.000337 -0.114979 180.2 254.911844 -40.304913 0.06 0.06 45 16593884-4018176 15.566 0.069 0.07 14.7 14.307 0.055 0.056 21.4 13.799 0.05 0.051 20.7 AAA 222 111 00p 465636 14.0 241 836039601 0 0 32767 s 1999-05-11 115 345.297 1.326 140.1 2451309.8001 0.94 0.72 0.81 15.537 0.119 14.387 0.103 13.918 0.132 6117 113 sw 0 1 0 "" "" "" "" 0 "" 45387 1043895 198 Opt
