_r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 e_BP-RP e_BP-G d_arcsec
0.153943 0.093618 -0.122205 142.5 "Gaia DR2 3026527629447090048" 112.61082061309 0.1114 -18.66418582644 0.1402 1635721458409799680 3026527629447090048 893762108 2015.5 0.2555 0.1990 1.2838 -1.245 0.238 0.290 0.282 -0.2945 -0.0480 -0.4311 -0.0494 0.2104 -0.0202 -0.3331 0.2343 -0.2092 -0.3263 405 0 403 2 -1.6883 351.63 0.0 0.0 31 0 0.5267 1.4315 0.0288 0.071 46 14 0.27588 0 46 0 400 748.8 1.209 619.269 18.50244188772083 0.0025127315993582018 40 286.9 4.469 64.203 19.2070 0.0169 40 695.5 4.911 141.626 17.6562 0.0077 1.312 0 1.550816197306844 0.7045938847496416 0.8462 "" "" 0 "" "" "" NOT_AVAILABLE 233.90848523141 -0.17830875462 118.34827306916 -39.90415496979 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.610826272 3.6837 -18.6641870748 4.366 0.018716962165929992 0.01715389428886692 13.0099
0.156182 0.111133 -0.109737 134.6 "Gaia DR2 3026527766886061056" 112.62929974045 0.1049 -18.65170675469 0.1309 1635721458409799680 3026527766886061056 975393548 2015.5 0.2127 0.2030 1.0480 -1.271 0.224 -0.564 0.269 -0.2794 0.0077 -0.3611 -0.0638 0.2432 -0.0001 -0.2664 0.2497 -0.1785 -0.3446 354 0 354 0 1.2374 382.01 0.202 0.32 31 0 0.6122 1.4943 0.0275 0.081 40 13 0.26274 0 42 0 368 866.9 1.078 804.029 18.343439929383784 0.0022501974479579574 35 325.6 5.256 61.954 19.0696 0.0175 33 774.9 6.714 115.417 17.5388 0.0094 1.269 0 1.530775096763012 0.7261490312814303 0.8046 "" "" 0 "" "" "" NOT_AVAILABLE 233.90594863532 -0.1569587724 118.36739152264 -39.88843518833 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.629305516 3.4715 -18.6517043266 4.1713 0.020029276717721752 0.017723808966594465 9.7267
0.151445 0.099423 -0.114239 139.0 "Gaia DR2 3026527736830893184" 112.61694291132 0.4868 -18.65621624485 0.8064 1635721458409799680 3026527736830893184 1119722562 2015.5 0.6942 1.1150 0.6226 0.009 1.055 2.449 1.519 -0.3511 -0.1574 -0.4717 0.0524 0.0622 0.0427 -0.5964 0.4605 -0.0712 -0.3006 318 0 318 0 1.7943 359.34 0.427 0.09 31 0 0.038 1.5016 0.1274 0.076 36 10 1.4785 0 36 1 317 135.4 0.936 144.683 20.359192991027054 0.007717277931808989 35 68.37 4.179 16.361 20.7642 0.0664 35 139 4.362 31.863 19.4045 0.0341 1.531 0 1.3597326133081538 0.4050588872997345 0.9546 "" "" 0 "" "" "" NOT_AVAILABLE 233.90428062571 -0.16939353791 118.35361099801 -39.89518893098 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.616942869 16.3568 -18.6562267906 23.5608 0.07463466477458003 0.06682187984126074 20.9667
0.15865 0.118409 -0.105589 131.7 "Gaia DR2 3026527766886065536" 112.63697554933 0.4002 -18.64755424897 0.5397 1635721458409799680 3026527766886065536 964864923 2015.5 0.9505 0.7864 1.2087 -0.961 0.856 2.184 1.017 -0.3681 -0.1732 -0.4990 0.0818 0.4174 0.1669 -0.4644 0.3536 -0.3003 -0.3989 389 0 387 2 1.9826 438.73 0.0 0.0 31 0 0.0447 1.3287 0.0992 0.075 44 12 1.0598 0 46 0 402 151.0 0.7766 194.47 20.240813804453754 0.005866097090978575 39 48.81 4.189 11.653 21.1301 0.0932 41 192.6 5.613 34.317 19.0501 0.0316 1.599 0 2.080060106421616 0.8893364628560718 1.1907 "" "" 0 "" "" "" NOT_AVAILABLE 233.90580009208 -0.14858534061 118.37559948671 -39.88291528325 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.636979917 13.2746 -18.6475636509 15.7802 0.09842931460126872 0.09337089349057992 13.0585
0.157394 0.110092 -0.112484 135.6 "Gaia DR2 3026527771190627712" 112.62820288611 0.3875 -18.65445441959 0.5062 1635721458409799680 3026527771190627712 809533623 2015.5 1.4184 0.7439 1.9066 -1.560 0.822 -1.068 1.038 -0.3019 0.0124 -0.3271 -0.1349 0.1768 -0.0998 -0.2181 0.2028 -0.1347 -0.3497 399 0 397 2 1.9954 449.84 1.352 1.2 31 0 0.0417 1.0915 0.1024 0.056 46 14 0.98502 0 48 0 406 153.3 0.8929 171.659 20.22475707622987 0.006576068531828692 38 41.95 4.008 10.467 21.2945 0.1037 37 208.5 5.178 40.266 18.9642 0.0270 1.634 0 2.330409348468798 1.0697871239644847 1.2606 "" "" 0 "" "" "" NOT_AVAILABLE 233.90785939851 -0.15919007083 118.36677860147 -39.89133493253 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.628209975 12.7536 -18.6544498217 16.0985 0.10720180663671053 0.10394636254754008 16.4717
0.15323 0.106451 -0.110217 136.0 "Gaia DR2 3026527771181765248" 112.62435773213 0.3799 -18.6521901301 0.5141 1635721458409799680 3026527771181765248 1089527804 2015.5 -0.0794 0.7640 -0.1040 -14.226 0.805 7.719 0.994 -0.2295 -0.0166 -0.4286 -0.0420 0.2912 0.0279 -0.4395 0.2805 -0.2378 -0.2787 397 0 396 1 0.5916 407.09 0.0 0.0 31 0 0.0421 1.3453 0.1022 0.081 45 12 0.96975 0 47 0 415 142.4 0.8044 176.965 20.305006274739654 0.006393938063526448 37 42.87 4.426 9.686 21.2710 0.1121 42 188.7 4.297 43.913 19.0726 0.0247 1.627 0 2.1984815709136996 0.9660606693862164 1.2323 "" "" 0 "" "" "" NOT_AVAILABLE 233.90412349782 -0.16129788201 118.36153718148 -39.88984276928 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.624422377 12.4776 -18.6522233644 15.4219 0.11481751546335685 0.11229013049657763 19.3209
0.163384 0.114586 -0.116466 135.5 "Gaia DR2 3026527771186539392" 112.63294833791 5.4941 -18.65843333908 9.1511 1635721458409799680 3026527771186539392 30536205 2015.5 "" "" "" "" "" "" "" -0.8098 "" "" "" "" "" "" "" "" "" 48 0 48 0 1.3467 55.94 5.569 1.4 3 0 0.0071 "" "" -0.06 6 4 48.832 0 7 0 58 59.32 1.587 37.374 21.255470324095672 0.029106421016255685 0 "" "" "" "" "" 0 "" "" "" "" "" "" 0 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 233.91350892098 -0.15715787527 118.37355542579 -39.8943369344 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.632948338 5.4941 -18.6584333391 9.1511 "" "" 14.9387
0.163422 0.111256 -0.119703 137.1 "Gaia DR2 3026527736825357824" 112.62943583351 2.885 -18.66167262237 2.9178 1635721458409799680 3026527736825357824 450548316 2015.5 "" "" "" "" "" "" "" -0.3603 "" "" "" "" "" "" "" "" "" 45 0 45 0 1.5421 54.61 2.332 0.29 3 0 0.0091 "" "" 0.159 6 6 6.0892 0 6 0 48 58.6 2.146 27.304 21.268581849101572 0.03980633384654189 0 "" "" "" "" "" 0 "" "" "" "" "" "" 0 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 233.9147515096 -0.16163265175 118.37014735039 -39.898175031 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.629435834 2.885 -18.6616726224 2.9178 "" "" 4.1464
0.172762 0.122944 -0.121374 134.6 "Gaia DR2 3026527702465270528" 112.64177417848 0.6528 -18.66333524919 0.81 1635721458409799680 3026527702465270528 718552576 2015.5 1.5130 1.2384 1.2218 -0.659 1.343 -0.178 1.576 -0.3748 0.1574 -0.1471 -0.2614 0.0291 -0.2304 -0.0139 0.2792 -0.2630 -0.4060 299 0 298 1 1.5916 332.52 0.962 0.23 31 0 0.0207 1.0592 0.1778 0.024 35 11 1.5743 0 37 0 307 96.53 0.7389 130.635 20.72676673144221 0.00850386234481171 30 41.84 4.775 8.764 21.2973 0.1239 30 161.2 5.912 27.260 19.2437 0.0398 2.103 0 2.053627472959313 0.5705502390716717 1.4830 "" "" 0 "" "" "" NOT_AVAILABLE 233.92182506631 -0.15217875868 118.3855102635 -39.89747156881 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.641777173 20.824 -18.663334484 24.4462 0.13015623265330772 0.12418967595855786 13.4561
0.169946 0.120793 -0.119543 134.7 "Gaia DR2 3026527702462256896" 112.63950268216 0.4512 -18.66150665145 0.6409 1635721458409799680 3026527702462256896 427800728 2015.5 0.6676 0.8305 0.8039 -2.263 0.951 2.256 1.254 -0.2936 -0.0672 -0.4575 -0.0159 0.2036 0.0134 -0.4914 0.2691 -0.1815 -0.2966 401 0 399 2 8.4668 681.71 2.746 7.8 31 0 0.0332 1.2926 0.1129 0.042 46 13 1.2079 0 48 0 416 151.7 0.8263 183.555 20.23622234465655 0.006182947086071879 40 198.9 8.151 24.403 19.6048 0.0445 41 518.6 10.26 50.534 17.9748 0.0215 4.731 0 1.6300362173765457 -0.6314092691503532 2.2614 "" "" 0 "" "" "" NOT_AVAILABLE 233.91918744549 -0.15318779073 118.38228590836 -39.89610928913 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.639512969 14.7514 -18.6615163634 19.4463 0.049465778482158856 0.04494270862021164 4.4497
