DR2Name,RAJ2000_2,DEJ2000_2,Jmag,e_Jmag,JK,eJK,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
Gaia DR2 3026532989566472576,0.006611495504861588,-0.012746500000002214,14.214,0.04,0.9240000000000013,0.07211102550927978,0.3696,-1.935,2.439,0.0644,0.081,0.103,1.0,1
Gaia DR2 3026538869385931904,0.02312074526782856,-0.002647500000001912,14.367,0.041,0.8340000000000014,0.06014149981501958,0.2263,-1.882,2.434,0.0655,0.084,0.097,1.0,1
Gaia DR2 3026539144263848320,-0.0007689449099026579,0.009517499999997625,14.552,0.04,0.7739999999999991,0.07889233169326408,0.1128,-1.896,2.348,0.0589,0.08,0.089,1.0,1
Gaia DR2 3026532993870685568,0.001522530028452312,-0.011739500000000902,14.589,0.024,1.1129999999999995,0.056364882684167804,0.1244,-1.877,2.323,0.0997,0.129,0.145,1.0,1
Gaia DR2 3026539105599902336,0.021212482505368356,0.014364499999999225,14.91,0.054,1.1140000000000008,0.08605230967266364,0.2042,-1.891,2.652,0.1647,0.21,0.235,1.0,1
Gaia DR2 3026532993870679296,0.011923461259457025,-0.009790500000001146,14.928,0.041,0.8710000000000004,0.07349829930005183,0.3171,-1.745,2.124,0.099,0.132,0.147,1.0,1
Gaia DR2 3026539075533680128,0.003017912898096748,0.007821499999998593,15.333,0.06,1.1910000000000007,0.10080178569846865,-0.4675,-3.185,3.055,0.4267,0.631,0.706,1.0,1
Gaia DR2 3026533195725522816,-0.010455431352144866,-0.001960500000002696,15.532,0.072,1.6430000000000007,0.1046900186264192,0.1725,-2.901,3.397,0.4304,0.592,0.666,1.0,1
Gaia DR2 3026533234388861312,-0.022750033311681604,-0.0027524999999997135,15.553,0.092,1.3900000000000006,0.14263590010933433,0.465,-1.087,3.047,0.1111,0.153,0.163,1.0,1
Gaia DR2 3026539139959641728,-0.004280909030059721,0.011041499999997484,15.641,0.071,0.9960000000000004,0.1360036764208968,0.0557,-1.484,2.52,0.1503,0.207,0.215,1.0,1
Gaia DR2 3026532993860018304,-0.00025596679140575825,-0.011922500000000724,15.672,0.079,2.091000000000001,0.10104454463255302,0.402,-3.305,0.995,0.6194,0.928,0.91,1.0,1
Gaia DR2 3026539139960262528,-0.005598013050639928,0.014707500000000095,15.681,0.078,1.1899999999999995,0.13895682782792645,0.4796,-1.735,2.777,0.225,0.29,0.327,1.0,1
Gaia DR2 3026533268748589184,-0.003115571797888127,0.007877499999999316,15.726,0.083,1.266,0.13700364958642525,-0.0569,-2.081,2.288,0.2846,0.391,0.44,1.0,1
Gaia DR2 3026532989566427904,0.01195497067389972,-0.006588499999999442,15.738,0.094,1.2009999999999987,0.15720050890502868,0.178,-1.567,2.821,0.2459,0.311,0.362,1.0,1
Gaia DR2 3026532989567090560,0.003599694058318634,-0.009904500000001093,15.77,0.068,1.7270000000000003,0.09616652224137047,-0.4858,-1.438,2.647,0.4452,0.562,0.71,1.0,1
Gaia DR2 3026532993860002304,0.009333245139639195,-0.01306549999999973,15.808,0.092,1.795,0.11997082978791136,0.7527,-1.469,1.92,0.349,0.418,0.553,1.0,1
Gaia DR2 3026539071240784128,0.005749294150491533,0.002027500000000515,15.827,0.099,1.3659999999999997,0.1494824404403407,-0.1069,-2.131,2.11,0.3375,0.467,0.576,1.0,1
Gaia DR2 3026533200018436736,-0.0028348792623710943,0.005191499999998683,15.843,0.084,1.6289999999999996,0.116,0.3363,-2.14,1.832,0.3846,0.531,0.593,1.0,1
Gaia DR2 3026538796362874880,0.02521614772402715,-0.008031500000001301,15.892,0.096,1.4159999999999986,0.14153444810363305,0.1915,-1.975,2.831,0.4191,0.544,0.63,1.0,1
