#ID  Jmag   (Jmag-Ksmag)   e_Jmag   e_(Jmag-Ksmag)   Mini
10      16.0246 1.5111  0.0956  0.1860  0.7937  
11      15.4165 1.2637  0.0618  0.1240  0.9044  
12      15.4975 1.2117  0.0673  0.1348  0.8816  
13      15.8354 1.3309  0.0866  0.1703  0.8180  
14      15.3339 1.0980  0.0618  0.1240  0.9044  
15      15.7322 1.2974  0.0797  0.1580  0.8384  
16      15.8261 1.4833  0.0797  0.1580  0.8384  
17      15.2040 1.1045  0.0560  0.1123  0.9312  
18      15.3418 1.1950  0.0599  0.1203  0.9126  
19      15.0098 1.0371  0.0503  0.1004  0.9614  
110     14.8131 1.0600  0.0445  0.0876  0.9996  
111     15.3153 1.2349  0.0579  0.1162  0.9219  
112     14.6323 1.1322  0.0396  0.0762  1.0676  
113     14.5423 0.9425  0.0395  0.0759  1.1066  
114     14.6950 1.2415  0.0398  0.0766  1.0569  
115     14.6796 1.1143  0.0409  0.0791  1.0377  
116     14.5906 0.9851  0.0397  0.0765  1.1477  
117     14.4775 0.7803  0.0397  0.0764  1.1322  
118     14.5060 0.9184  0.0387  0.0739  1.2153  
119     14.4994 0.9387  0.0384  0.0731  1.2331  
120     14.2685 0.9081  0.0349  0.0642  1.3870  
121     14.2230 0.8727  0.0345  0.0632  1.4116  
122     14.0865 0.6886  0.0341  0.0620  1.4438  
123     14.1340 0.8820  0.0334  0.0602  1.4992  
124     13.9975 0.8047  0.0324  0.0576  1.5917  
125     13.9194 0.8558  0.0315  0.0549  1.7027  
126     13.5907 0.6946  0.0299  0.0501  1.9601  
127     13.6252 0.8063  0.0297  0.0496  1.9969  
128     13.5566 0.7453  0.0295  0.0490  2.0336  
129     13.4069 0.8069  0.0286  0.0461  2.2541  
130     13.2103 0.8002  0.0279  0.0436  2.4930  
131     12.9789 0.7067  0.0273  0.0417  2.7135  
132     12.4840 0.6638  0.0263  0.0380  3.3985  
133     12.3728 0.7630  0.0261  0.0369  3.6925  
134     12.2077 0.7215  0.0259  0.0362  3.9369  
135     11.7431 0.7108  0.0255  0.0343  4.8658  
136     10.9275 0.6726  0.0252  0.0325  6.8104  
137     9.4495  0.6000  0.0250  0.0313  10.5985 
