DR2Name,RA_ICRS,DE_ICRS,Gmag,e_Gmag,BP-RP,e_BP-RP,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
Gaia DR2 3026533268737931776,-0.01205261761340611,-8.974130500050137e-05,20.380486627637566,0.006194326152118123,1.9449392785075865,0.06963599927178016,0.9216,-1.81,-0.608,0.6666,0.871,0.908,0.999,1
Gaia DR2 3026533195727068800,-0.0069353236776489085,0.0003631817050013808,20.394310451471878,0.009922265923613853,1.8710974214531753,0.0518486430404422,-0.5091,-2.584,1.666,0.8298,1.012,1.1,0.999,1
Gaia DR2 3026532989568644352,0.01281158972812683,-0.006892052925000058,19.597874082136638,0.0039861234234402935,2.29644769537018,0.06182325359823224,-0.413,-2.194,2.129,0.388,0.478,0.544,0.998,1
Gaia DR2 3026533195727069056,-0.005199429685350485,0.003779178255001625,19.706086305617248,0.00652263797366983,2.0208744742236178,0.044433047062808984,-0.9181,-1.675,2.066,0.4705,0.668,0.737,0.998,1
Gaia DR2 3026539144253155840,-0.0014196002306266144,0.01601664548500281,19.697552849395056,0.004799534334615719,1.6453525733779024,0.07195327536619496,0.0691,-2.157,3.473,0.4793,0.709,0.864,0.997,1
Gaia DR2 3026533195727072000,0.0028589567942824607,-0.003024884734998068,19.71641584896979,0.004356837676393781,1.8386147193754887,0.053103938035811094,-0.2639,-3.363,3.108,0.4334,0.577,0.667,0.997,1
Gaia DR2 3026539071242335232,0.01219022253869975,0.014289724244999746,19.716460179292717,0.00476924990327556,1.9419978567490475,0.04377666247567865,0.0367,-1.154,0.279,0.4171,0.576,0.723,0.997,1
Gaia DR2 3026533230086805248,-0.017602288822994718,0.0025566793750009253,20.625237791496765,0.007997521414026841,2.427267825712171,0.13387192034250986,-0.5161,0.292,0.548,0.9079,1.219,1.456,0.997,1
Gaia DR2 3026539075533668096,0.009590728156557714,0.005624243705000254,19.72832335879466,0.004515104334350221,1.6926108081912723,0.04140392664179923,0.157,-1.669,0.636,0.3973,0.53,0.632,0.993,1
Gaia DR2 3026533268748588544,-0.0030413260908798484,0.009097155024999637,20.591154442447845,0.00829961247873208,1.8303684618086784,0.052071836969134554,-0.5295,-1.402,-0.135,0.9594,1.247,1.556,0.993,1
Gaia DR2 3026533195725522816,-0.010552312793420476,-0.0018713076050005384,19.6258694751031,0.0042732475200349535,2.2975815631596817,0.04724950718166071,0.1725,-2.901,3.397,0.4304,0.592,0.666,0.99,1
Gaia DR2 3026532993859994112,0.0073128418871857065,-0.004104423124999812,20.56322432727102,0.007561330297276817,1.7112626681611438,0.069941936602854,-0.8122,-2.713,4.004,0.958,1.189,1.323,0.989,1
Gaia DR2 3026532993860009216,0.008753762757468817,-0.01684841697499806,20.574603562951722,0.0085399457680536,1.6952570468523689,0.08281777999657533,0.3724,-1.628,4.426,0.9748,1.186,1.434,0.987,1
Gaia DR2 3026532989567090176,0.004304447258811626,-0.015230324144997809,19.69524504664386,0.004095579917913009,2.366758875947596,0.05683720359948756,-0.0078,-1.795,1.992,0.3823,0.497,0.581,0.986,1
Gaia DR2 3026539075533680256,0.0030116667519381073,0.008054229405001223,19.568064740446825,0.004650411924125829,2.1880027977248737,0.06836968408778939,-0.4177,-2.17,2.808,0.368,0.55,0.625,0.982,1
