#id,ALFA(gaia),DELTA(gaia),V,ERROR,B-V,ERROR,U-B,ERROR,V-I,ERROR
1,239.893487437,-53.7255898644,10.267,0.001,0.685,0.001,0.154,0.001,0.914,0.001
2,239.938142519,-53.7711595151,12.283,0.001,0.675,0.001,0.149,0.002,0.942,0.001
3,239.911482995,-53.7455738486,12.364,0.001,0.48,0.001,-0.404,0.002,0.771,0.001
4,239.879850908,-53.7423668703,12.53,0.001,0.47,0.001,0.031,0.002,0.742,0.001
5,239.922198128,-53.797637956,12.565,0.001,1.047,0.001,0.52,0.002,1.538,0.001
6,239.931477654,-53.772631994,13.142,0.001,1.651,0.001,0.579,0.004,2.252,0.001
7,239.910148727,-53.7541471751,13.249,0.001,1.702,0.002,0.547,0.005,2.433,0.002
8,239.902293981,-53.763920814,13.67,0.001,1.972,0.002,0.898,0.008,2.683,0.002
9,239.908114057,-53.7671985224,13.902,0.001,0.8,0.002,0.52,0.003,1.14,0.002
10,239.890272417,-53.7491361072,14.03,0.001,0.671,0.002,0.058,0.003,0.906,0.002
11,239.864873453,-53.7900539121,14.194,0.001,1.726,0.002,1.689,0.012,2.021,0.001
12,239.961314591,-53.7266579174,14.229,0.001,0.936,0.002,0.656,0.004,1.348,0.002
13,239.95103474,-53.7608997308,14.317,0.001,1.636,0.002,INDEF,INDEF,1.976,0.001
14,239.91809429,-53.7214971753,14.327,0.001,2.321,0.004,INDEF,INDEF,INDEF,INDEF
15,239.944486356,-53.8019247676,14.471,0.001,0.939,0.002,0.591,0.005,1.187,0.002
16,239.872229203,-53.7970905196,14.49,0.001,0.804,0.002,0.35,0.004,1.028,0.002
17,239.955414882,-53.7385957299,14.635,0.001,0.905,0.002,0.537,0.005,1.273,0.002
18,239.912976686,-53.7378444256,14.646,0.001,1.623,0.003,1.454,0.014,1.918,0.001
19,239.936933988,-53.7620817657,14.69,0.002,0.697,0.002,0.429,0.005,1.054,0.002
20,239.838729056,-53.7289520478,14.753,0.002,0.953,0.003,0.386,0.006,1.281,0.003
21,239.93924114,-53.7436429715,14.883,0.001,1.521,0.003,1.16,0.013,1.9,0.002
22,239.916254718,-53.7534289925,14.884,0.002,1.857,0.004,1.586,0.026,2.222,0.002
23,239.895385597,-53.7637063292,14.917,0.001,0.884,0.002,0.345,0.005,1.251,0.002
24,239.924701021,-53.761064098,14.928,0.001,0.709,0.002,0.333,0.005,1.037,0.002
25,239.878998486,-53.7466755666,14.94,0.001,1.154,0.002,0.559,0.008,1.528,0.002
26,239.868294541,-53.7618568887,15.048,0.001,0.998,0.002,0.695,0.007,1.364,0.002
27,239.868198355,-53.7565252294,15.102,0.002,0.927,0.003,0.383,0.006,1.221,0.002
